Tool,Phase,Case,Run,Scenario,Artifact,Iteration,Metric,Value
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,128,1,Time,424166944
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,1,Batch,4,1,Time,914295464
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,4,1,Time,395268244
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,4,Batch,256,1,Time,16917137650
Sesame_(No_Inferencing),Check,RouteSensor,4,Batch,256,1,Time,368915703
Sesame_(No_Inferencing),Check,RouteSensor,4,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,4,Batch,8,1,Time,551331251
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,8,1,Time,16643330
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,8,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,3,Batch,8,1,Time,663792187
Sesame_(No_Inferencing),Check,RouteSensor,3,Batch,8,1,Time,38342785
Sesame_(No_Inferencing),Check,RouteSensor,3,Batch,8,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,5,Batch,4,1,Time,224971339
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,4,1,Time,103810328
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,1,Batch,64,1,Time,6092161437
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,64,1,Time,869260633
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,4,Batch,8,1,Time,398940378
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,8,1,Time,99696826
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,8,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,1,Batch,2,1,Time,670231850
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,2,1,Time,544341319
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,3,Batch,4,1,Time,322329229
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,4,1,Time,165680652
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,5,Batch,128,1,Time,8868213750
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,128,1,Time,166667793
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,128,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,2,Batch,32,1,Time,2110059092
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,32,1,Time,4027693345
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,32,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,2,Batch,1,1,Time,141335787
Jena_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,1,1,Time,19715233
Jena_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,1,Batch,32,1,Time,2980099476
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,32,1,Time,314462023
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,32,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,4,Batch,128,1,Time,8176918531
Jena_(No_Inferencing),Check,RouteSensor,4,Batch,128,1,Time,323121250
Jena_(No_Inferencing),Check,RouteSensor,4,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,3,Batch,2,1,Time,174800248
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,2,1,Time,13607297
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,5,Batch,256,1,Time,18127522571
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,256,1,Time,148919380
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,256,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,4,Batch,32,1,Time,1777178400
Sesame_(No_Inferencing),Check,RouteSensor,4,Batch,32,1,Time,104058955
Sesame_(No_Inferencing),Check,RouteSensor,4,Batch,32,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,3,Batch,2,1,Time,165214757
Jena_(No_Inferencing),Check,SwitchSet,3,Batch,2,1,Time,5570059
Jena_(No_Inferencing),Check,SwitchSet,3,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,2,Batch,1,1,Time,205104499
Jena_(No_Inferencing),Check,RouteSensor,2,Batch,1,1,Time,18905873
Jena_(No_Inferencing),Check,RouteSensor,2,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,2,Batch,4,1,Time,570631250
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,4,1,Time,20429876
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,2,Batch,8,1,Time,908935630
Sesame_(No_Inferencing),Check,RouteSensor,2,Batch,8,1,Time,73300594
Sesame_(No_Inferencing),Check,RouteSensor,2,Batch,8,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,2,Batch,16,1,Time,982386778
Jena_(No_Inferencing),Check,SwitchSet,2,Batch,16,1,Time,28552885
Jena_(No_Inferencing),Check,SwitchSet,2,Batch,16,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,4,Batch,64,1,Time,4092065728
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,4,Batch,64,1,Time,6093712076
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,4,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,5,Batch,128,1,Time,7456411561
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,128,1,Time,2146346257
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,1,Batch,1,1,Time,542319917
Jena_(No_Inferencing),Check,SwitchSet,1,Batch,1,1,Time,481343830
Jena_(No_Inferencing),Check,SwitchSet,1,Batch,1,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,1,Batch,8,1,Time,1457138656
Jena_(No_Inferencing),Check,ConnectedSegments,1,Batch,8,1,Time,482449715
Jena_(No_Inferencing),Check,ConnectedSegments,1,Batch,8,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,2,Batch,128,1,Time,9841831887
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,128,1,Time,511393079
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,3,Batch,128,1,Time,6775970275
Jena_(No_Inferencing),Check,SwitchSet,3,Batch,128,1,Time,60522045
Jena_(No_Inferencing),Check,SwitchSet,3,Batch,128,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,2,Batch,32,1,Time,2725158995
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,32,1,Time,3178919342
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,3,Batch,256,1,Time,14771454066
Sesame_(No_Inferencing),Check,RouteSensor,3,Batch,256,1,Time,445058160
Sesame_(No_Inferencing),Check,RouteSensor,3,Batch,256,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,3,Batch,256,1,Time,14951112795
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,256,1,Time,19567389166
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,1,Batch,2,1,Time,624659481
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,2,1,Time,509666216
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,4,Batch,256,1,Time,17869632066
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,256,1,Time,8131481261
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,5,Batch,32,1,Time,1954071614
Jena_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,32,1,Time,406936698
Jena_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,32,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,1,Batch,256,1,Time,18600542886
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,256,1,Time,3030865322
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,2,Batch,1,1,Time,178099763
Jena_(No_Inferencing),Check,ConnectedSegments,2,Batch,1,1,Time,21418468
Jena_(No_Inferencing),Check,ConnectedSegments,2,Batch,1,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,1,Batch,8,1,Time,1207731220
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,8,1,Time,463166173
